,genus,species,corrected genus,corrected species
CMS_001_RNA_A_S1,Culex,erythrothorax,Culex,erythrothorax
CMS_002_10a_Rb_S119_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_13a_Rb_S120_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_16a_Rb_S121_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17a_Rb_S122_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17b_Rb_S123_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17c_Rb_S124_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17d_Rb_S125_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_17e_Rb_S126_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_18a_Rb_S128_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_18b_Rb_S129_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_19a_Rb_S130_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_1a_Rb_S116_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_20a_Rb_S131_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20b_Rb_S132_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20c_Rb_S133_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20d_Rb_S134_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_20e_Rb_S135_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_21a_Rb_S136_L004,Culiseta,particeps,Culiseta,particeps
CMS_002_22a_Rb_S137_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_23a_Rb_S138_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_25a_Rb_S140_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25b_Rb_S141_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25c_Rb_S142_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25d_Rb_S143_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25e_Rb_S144_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_25f_Rb_S145_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_26a_Rb_S146_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26b_Rb_S147_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26c_Rb_S148_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26d_Rb_S149_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_26e_Rb_S150_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_27a_Rb_S152_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_27b_Rb_S153_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_28a_Rb_S154_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_28b_Rb_S155_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_28c_Rb_S156_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_28d_Rb_S157_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_28e_Rb_S158_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_29a_Rb_S159_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_29b_Rb_S160_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_29c_Rb_S161_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_29d_Rb_S162_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_29e_Rb_S164_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_31a_Rb_S165_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_32a_Rb_S166_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_33a_Rb_S167_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_34a_Rb_S168_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_35a_Rb_S169_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_36a_Rb_S170_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_37a_Rb_S171_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_38a_Rb_S172_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_39a_Rb_S173_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_40a_Rb_S174_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_41a_Rb_S176_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_42a_Rb_S177_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_44a_Rb_S178_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_44b_Rb_S179_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_44c_Rb_S180_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_44d_Rb_S181_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_44e_Rb_S182_L004,Aedes,aegypti,Aedes,aegypti
CMS_002_45a_Rb_S183_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_45b_Rb_S184_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_45c_Rb_S185_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_45d_Rb_S186_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_45e_Rb_S188_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_45f_Rb_S189_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_45g_Rb_S190_L004,Aedes,albopictus,Aedes,albopictus
CMS_002_46a_Rb_S191_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_46b_Rb_S192_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_47a_Rb_S193_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47b_Rb_S194_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47c_Rb_S195_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47d_Rb_S196_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47e_Rb_S197_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47f_Rb_S198_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47g_Rb_S200_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47h_Rb_S1_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47i_Rb_S2_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_47j_Rb_S3_L004,Culex,erythrothorax,Culex,erythrothorax
CMS_002_49a_Rb_S4_L004,Culex,pipiens,Culex,pipiens
CMS_002_4a_Rb_S117_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_50a_Rb_S5_L004,Culex,pipiens,Culex,pipiens
CMS_002_51a_Rb_S6_L004,Culex,pipiens,Culex,pipiens
CMS_002_53a_Rb_S7_L004,Culex,pipiens,Culex,pipiens
CMS_002_54a_Rb_S8_L004,Culex,pipiens,Culex,pipiens
CMS_002_56a_Rb_S9_L004,Culex,tarsalis,Culex,tarsalis
CMS_002_57a_Rb_S10_L004,Culex,pipiens,Culex,pipiens
CMS_002_7a_Rb_S118_L004,Culex,quinquefasciatus,Culex,quinquefasciatus
CMS_002_RNA_A_S1,Culex,tarsalis,Culex,tarsalis
CMS_002_Water1_Rb_S127_L004,NA,NA,NA,NA
CMS_002_Water2_Rb_S139_L004,NA,NA,NA,NA
CMS_002_Water3_Rb_S151_L004,NA,NA,NA,NA
CMS_002_Water4_Rb_S163_L004,NA,NA,NA,NA
CMS_002_Water5_Rb_S175_L004,NA,NA,NA,NA
CMS_002_Water6_Rb_S187_L004,NA,NA,NA,NA
CMS_002_Water7_Rb_S199_L004,NA,NA,NA,NA
CMS_002_Water8_Rb_S11_L004,NA,NA,NA,NA
CMS_003_RNA_A_S2,Culiseta,particeps,Culiseta,particeps
CMS_004_RNA_A_S2,Culex,pipiens,Culex,pipiens
CMS_005_RNA_A_S3,Culiseta,incidens,Culiseta,incidens
CMS_006_RNA_A_S1,Culex,erythrothorax,Culex,erythrothorax
CMS_007_RNA_A_S12,Culex,erythrothorax,Culex,erythrothorax
CMS_008_RNA_A_S3,Culiseta,particeps,Culiseta,particeps
CMS_009_RNA_A_S13,Culiseta,particeps,Culiseta,particeps
CMS_010_RNA_A_S1,Culex,erythrothorax,Culex,erythrothorax
CMS_011_RNA_A_S4,Culex,erythrothorax,Culex,erythrothorax
CMS_012_RNA_A_S4,Aedes,dorsalis,Aedes,dorsalis
CMS_013_RNA_A_S5,Culex,erythrothorax,Culex,erythrothorax
CMS_014_RNA_A_S5,Culiseta,incidens,Culiseta,incidens
CMS_0015_RNA_A_S13,Culex,erythrothorax,Culex,erythrothorax
CMS_016_RNA_A_S6,Culiseta,inornata,Culiseta,inornata
CMS_017_RNA_A_S2,Culex,erythrothorax,Culex,erythrothorax
CMS_018_RNA_A_S14,Culex,erythrothorax,Culex,erythrothorax
CMS_019_RNA_A_S14,Culex,erythrothorax,Culex,erythrothorax
CMS_020_RNA_A_S15,Culex,erythrothorax,Culex,erythrothorax
CMS_021_RNA_A_S16,Culex,erythrothorax,Culex,erythrothorax
CMS_022_RNA_A_S6,Culex,erythrothorax,Culex,erythrothorax
CMS_023_RNA_A_S17,Culex,erythrothorax,Culex,erythrothorax
CMS_024_RNA_A_S15,Culex,erythrothorax,Culex,erythrothorax
CMS_025_RNA_A_S7,Culex,tarsalis,Culiseta,particeps
CMS_026_RNA_A_S18,Culex,tarsalis,Culiseta,incidens
CMS_027_RNA_A_S16,Culex,tarsalis,Culex,tarsalis
CMS_028_RNA_A_S17,Culex,tarsalis,Culex,tarsalis
CMS_029_RNA_A_S18,Culex,pipiens,Culex,pipiens
CMS_030_RNA_A_S7,Culex,pipiens,Culex,pipiens
CMS_031_RNA_A_S19,Culex,tarsalis,Culex,tarsalis
CMS_032_RNA_A_S4,Culex,tarsalis,Culex,tarsalis
CMS_033_RNA_A_S8,Culex,tarsalis,Culex,tarsalis
CMS_034_RNA_A_S19,Culex,tarsalis,Culex,tarsalis
CMS_035_RNA_A_S20,Culex,erythrothorax,Culex,erythrothorax
CMS_036_RNA_A_S20,Culex,tarsalis,Culex,tarsalis
CMS_037_RNA_A_S21,Culex,erythrothorax,Culex,erythrothorax
CMS_038_RNA_A_S22,Culex,tarsalis,Culex,tarsalis
CMS_039_RNA_A_S9,Culex,tarsalis,Culex,tarsalis
CMS_040_RNA_A_S21,Culex,tarsalis,Culex,tarsalis
CMS_041_RNA_A_S10,Culex,pipiens,Culex,pipiens
CMS_042_RNA_A_S23,Culex,tarsalis,Culex,tarsalis
CMS_043_RNA_A_S24,Culex,tarsalis,Culex,tarsalis
CMS_044_RNA_A_S22,Culex,pipiens,Culex,pipiens
CMS_044_RNA_A_S25,Culex,pipiens,Culex,pipiens
CMS_045_RNA_A_S2,Culex,tarsalis,Culex,erythrothorax
CMS_046_RNA_A_S3,Culex,tarsalis,Culex,tarsalis
CMS_047_RNA_A_S4,Culex,erythrothorax,Culex,erythrothorax
CMS_048_RNA_A_S5,Culex,erythrothorax,Culex,erythrothorax
CMS_049_RNA_A_S6,Culex,erythrothorax,Culex,erythrothorax
CMS_050_RNA_A_S23,Culex,erythrothorax,Culex,erythrothorax
CMS_051_RNA_A_S8,Culex,tarsalis,Culex,tarsalis
CMS_052_RNA_A_S7,Culex,erythrothorax,Culex,erythrothorax
CMS_053_RNA_A_S8,Culex,erythrothorax,Culex,erythrothorax
CMS_054_RNA_A_S11,Culex,pipiens,Culex,pipiens
CMS_055_RNA_A_S9,Culex,erythrothorax,Culex,erythrothorax
CMS_056_RNA_A_S10,Culex,erythrothorax,Culex,erythrothorax
CMS_057_RNA_A_S11,Culex,erythrothorax,Culex,erythrothorax
CMS_058_RNA_A_S9,NA,NA,Culex,erythrothorax
CMS_059_RNA_A_S10,Culex,pipiens,Culex,pipiens
CMS_060_RNA_A_S12,Culiseta,inornata,Culiseta,inornata
CMS_water1_S11,NA,NA,NA,NA
CMS_water2_S24,NA,NA,NA,NA
CMS_water3_Qiagen_S26,NA,NA,NA,NA
CMS_water4_Zymo_S27,NA,NA,NA,NA